Date,Pays,Filière,Valeur (GW),
2017,"France","Dechets",0,950677
2018,"France","Dechets",0,961422
2019,"France","Dechets",0,97181787896
2020,"France","Dechets",0,97334087896
2021,"France","Dechets",0,95995187896
2022,"France","Dechets",0,900885
2023,"France","Dechets",0,953515
2024,"France","Dechets",0,971775
2016,"France","Biogaz",0,373763
2017,"France","Biogaz",0,415786
2018,"France","Biogaz",0,447202
2019,"France","Biogaz",0,489588110587
2020,"France","Biogaz",0,534941110587
2021,"France","Biogaz",0,552523110587
2022,"France","Biogaz",0,5448664
2023,"France","Biogaz",0,55238824
2024,"France","Biogaz",0,56514354
2016,"France","Biomasse",0,557808
2017,"France","Biomasse",0,562658
2018,"France","Biomasse",0,61791
2019,"France","Biomasse",0,619355070465
2020,"France","Biomasse",0,633274070465
2021,"France","Biomasse",0,672285070465
2022,"France","Biomasse",0,723247
2023,"France","Biomasse",0,723946
2024,"France","Biomasse",0,723983
2016,"France","Eolien en mer",,
2017,"France","Eolien en mer",,
2018,"France","Eolien en mer",0,35
2019,"France","Eolien en mer",0,35
2020,"France","Eolien en mer",0,35
2021,"France","Eolien en mer",0,35
2022,"France","Eolien en mer",0,4835
2023,"France","Eolien en mer",0,8435
2024,"France","Eolien en mer",1,504
2016,"France","Eolien terrestre",11,794833
2017,"France","Eolien terrestre",13,5088149
2018,"France","Eolien terrestre",15,640319
2019,"France","Eolien terrestre",16,4551633
2020,"France","Eolien terrestre",17,5446508
2021,"France","Eolien terrestre",18,8281904
2022,"France","Eolien terrestre",20,57057995
2023,"France","Eolien terrestre",21,84379885
2024,"France","Eolien terrestre",22,94882927
2016,"France","Solaire",6,787195
2017,"France","Solaire",7,641303380002
2018,"France","Solaire",8,556977986536
2019,"France","Solaire",9,480824962747
2020,"France","Solaire",10,355848831428
2021,"France","Solaire",13,86941426773
2022,"France","Solaire",16,59126290999
2023,"France","Solaire",19,402923537999
2024,"France","Solaire",24,351511324998
2016,"France","Hydraulique",25,6239020001
2017,"France","Hydraulique",25,5589545001
2018,"France","Hydraulique",25,5551215001
2019,"France","Hydraulique",25,7054475001
2020,"France","Hydraulique",25,6514615001
2021,"France","Hydraulique",25,6659990001
2022,"France","Hydraulique",25,6801485901
2023,"France","Hydraulique",25,6944824501
2024,"France","Hydraulique",25,7198991001
2016,"France","Fioul",7,8427
2017,"France","Fioul",3,935683
2018,"France","Fioul",3,204789
2019,"France","Fioul",3,156233
2020,"France","Fioul",3,154616
2021,"France","Fioul",3,17534
2022,"France","Fioul",2,998488
2023,"France","Fioul",2,991133
2024,"France","Fioul",2,992355
2016,"France","Gaz",11,506915
2017,"France","Gaz",11,72950205
2018,"France","Gaz",11,92596
2019,"France","Gaz",11,970887
2020,"France","Gaz",12,72057338
2021,"France","Gaz",12,611008338
2022,"France","Gaz",12,64742289
2023,"France","Gaz",12,64126889
2024,"France","Gaz",12,58668389
2016,"France","Charbon",2,978004
2017,"France","Charbon",2,978004
2018,"France","Charbon",2,978004
2019,"France","Charbon",2,978004
2020,"France","Charbon",2,978004
2021,"France","Charbon",1,818004
2022,"France","Charbon",1,810503
2023,"France","Charbon",1,810503
2024,"France","Charbon",1,810503
2016,"France","Nucléaire",63,13
2017,"France","Nucléaire",63,13
2018,"France","Nucléaire",63,13
2019,"France","Nucléaire",63,13
2020,"France","Nucléaire",61,37
2021,"France","Nucléaire",61,37
2022,"France","Nucléaire",61,37
2023,"France","Nucléaire",61,37
2024,"France","Nucléaire",61,37
2016,"France","Toutes les filières",130,7354300001
2017,"France","Toutes les filières",130,4229058301
2018,"France","Toutes les filières",132,48403038664
2019,"France","Toutes les filières",135,1071582286
2020,"France","Toutes les filières",135,32022252954
2021,"France","Toutes les filières",138,80134122489
2022,"France","Toutes les filières",143,8623650711
2023,"France","Toutes les filières",148,9003348981
2024,"France","Toutes les filières",155,6213516951
2016,"Grèce","Autres",0,69
2017,"Grèce","Autres",0,69
2018,"Grèce","Autres",0,69
2019,"Grèce","Autres",0,105
2020,"Grèce","Autres",0,106
2021,"Grèce","Autres",0,109
2022,"Grèce","Autres",0,12
2023,"Grèce","Autres",0,128
2024,"Grèce","Autres",0,132
2016,"Grèce","Dechets",,
2017,"Grèce","Dechets",,
2018,"Grèce","Dechets",,
2019,"Grèce","Dechets",,
2020,"Grèce","Dechets",,
2021,"Grèce","Dechets",,
2022,"Grèce","Dechets",,
2023,"Grèce","Dechets",,
2024,"Grèce","Dechets",,
2016,"Grèce","Biogaz",,
2017,"Grèce","Biogaz",,
2018,"Grèce","Biogaz",,
2019,"Grèce","Biogaz",,
2020,"Grèce","Biogaz",,
2021,"Grèce","Biogaz",,
2022,"Grèce","Biogaz",,
2023,"Grèce","Biogaz",,
2024,"Grèce","Biogaz",,
2016,"Grèce","Biomasse",0,51
2017,"Grèce","Biomasse",0,51
2018,"Grèce","Biomasse",0,51
2019,"Grèce","Biomasse",0,86
2020,"Grèce","Biomasse",0,95
2021,"Grèce","Biomasse",0,106
2022,"Grèce","Biomasse",0,127
2023,"Grèce","Biomasse",0,12
2024,"Grèce","Biomasse",0,146
2016,"Grèce","Eolien en mer",,
2017,"Grèce","Eolien en mer",,
2018,"Grèce","Eolien en mer",,
2019,"Grèce","Eolien en mer",,
2020,"Grèce","Eolien en mer",,
2021,"Grèce","Eolien en mer",,
2022,"Grèce","Eolien en mer",,
2023,"Grèce","Eolien en mer",,
2024,"Grèce","Eolien en mer",,
2016,"Grèce","Eolien terrestre",1,875
2017,"Grèce","Eolien terrestre",2,228
2018,"Grèce","Eolien terrestre",2,355
2019,"Grèce","Eolien terrestre",3,153
2020,"Grèce","Eolien terrestre",3,755
2021,"Grèce","Eolien terrestre",4,15
2022,"Grèce","Eolien terrestre",4,547
2023,"Grèce","Eolien terrestre",5,65
2024,"Grèce","Eolien terrestre",5,225
2016,"Grèce","Solaire",2,441
2017,"Grèce","Solaire",2,441
2018,"Grèce","Solaire",2,441
2019,"Grèce","Solaire",2,606
2020,"Grèce","Solaire",3,55
2021,"Grèce","Solaire",3,82
2022,"Grèce","Solaire",5,1
2023,"Grèce","Solaire",6,7
2024,"Grèce","Solaire",9,
2016,"Grèce","Hydraulique",3,401
2017,"Grèce","Hydraulique",3,401
2018,"Grèce","Hydraulique",3,401
2019,"Grèce","Hydraulique",3,401
2020,"Grèce","Hydraulique",3,414
2021,"Grèce","Hydraulique",3,421
2022,"Grèce","Hydraulique",3,423
2023,"Grèce","Hydraulique",3,429
2024,"Grèce","Hydraulique",3,407
2016,"Grèce","Fioul",,
2017,"Grèce","Fioul",,
2018,"Grèce","Fioul",,
2019,"Grèce","Fioul",,
2020,"Grèce","Fioul",,
2021,"Grèce","Fioul",,
2022,"Grèce","Fioul",,
2023,"Grèce","Fioul",,
2024,"Grèce","Fioul",,
2016,"Grèce","Gaz",5,245
2017,"Grèce","Gaz",5,245
2018,"Grèce","Gaz",4,902
2019,"Grèce","Gaz",4,902
2020,"Grèce","Gaz",4,902
2021,"Grèce","Gaz",5,213
2022,"Grèce","Gaz",6,3
2023,"Grèce","Gaz",6,3
2024,"Grèce","Gaz",6,3
2016,"Grèce","Charbon",3,912
2017,"Grèce","Charbon",3,912
2018,"Grèce","Charbon",3,912
2019,"Grèce","Charbon",3,362
2020,"Grèce","Charbon",2,561
2021,"Grèce","Charbon",2,1
2022,"Grèce","Charbon",2,65
2023,"Grèce","Charbon",2,65
2024,"Grèce","Charbon",1,8
2016,"Grèce","Nucléaire",,
2017,"Grèce","Nucléaire",,
2018,"Grèce","Nucléaire",,
2019,"Grèce","Nucléaire",,
2020,"Grèce","Nucléaire",,
2021,"Grèce","Nucléaire",,
2022,"Grèce","Nucléaire",,
2023,"Grèce","Nucléaire",,
2024,"Grèce","Nucléaire",,
2016,"Grèce","Toutes les filières",16,994
2017,"Grèce","Toutes les filières",17,347
2018,"Grèce","Toutes les filières",17,131
2019,"Grèce","Toutes les filières",17,615
2020,"Grèce","Toutes les filières",17,888
2021,"Grèce","Toutes les filières",18,82
2022,"Grèce","Toutes les filières",21,997
2023,"Grèce","Toutes les filières",24,122
2024,"Grèce","Toutes les filières",25,74
2016,"Croatie","Autres",0,39
2017,"Croatie","Autres",0,46
2018,"Croatie","Autres",0,59
2019,"Croatie","Autres",0,6
2020,"Croatie","Autres",0,64
2021,"Croatie","Autres",0,67
2022,"Croatie","Autres",0,93
2023,"Croatie","Autres",0,105
2024,"Croatie","Autres",0,125
2016,"Croatie","Dechets",0,6
2017,"Croatie","Dechets",0,6
2018,"Croatie","Dechets",0,6
2019,"Croatie","Dechets",0,6
2020,"Croatie","Dechets",0,6
2021,"Croatie","Dechets",0,6
2022,"Croatie","Dechets",0,6
2023,"Croatie","Dechets",0,6
2024,"Croatie","Dechets",0,8
2016,"Croatie","Biogaz",,
2017,"Croatie","Biogaz",,
2018,"Croatie","Biogaz",,
2019,"Croatie","Biogaz",,
2020,"Croatie","Biogaz",,
2021,"Croatie","Biogaz",,
2022,"Croatie","Biogaz",,
2023,"Croatie","Biogaz",,
2024,"Croatie","Biogaz",,
2016,"Croatie","Biomasse",0,36
2017,"Croatie","Biomasse",0,52
2018,"Croatie","Biomasse",0,71
2019,"Croatie","Biomasse",0,91
2020,"Croatie","Biomasse",0,108
2021,"Croatie","Biomasse",0,111
2022,"Croatie","Biomasse",0,114
2023,"Croatie","Biomasse",0,114
2024,"Croatie","Biomasse",0,114
2016,"Croatie","Eolien en mer",,
2017,"Croatie","Eolien en mer",,
2018,"Croatie","Eolien en mer",,
2019,"Croatie","Eolien en mer",,
2020,"Croatie","Eolien en mer",,
2021,"Croatie","Eolien en mer",,
2022,"Croatie","Eolien en mer",,
2023,"Croatie","Eolien en mer",,
2024,"Croatie","Eolien en mer",,
2016,"Croatie","Eolien terrestre",0,537
2017,"Croatie","Eolien terrestre",0,582
2018,"Croatie","Eolien terrestre",0,616
2019,"Croatie","Eolien terrestre",0,739
2020,"Croatie","Eolien terrestre",0,796
2021,"Croatie","Eolien terrestre",0,925
2022,"Croatie","Eolien terrestre",0,981
2023,"Croatie","Eolien terrestre",1,209
2024,"Croatie","Eolien terrestre",1,24
2016,"Croatie","Solaire",0,51
2017,"Croatie","Solaire",0,52
2018,"Croatie","Solaire",0,53
2019,"Croatie","Solaire",0,53
2020,"Croatie","Solaire",0,85
2021,"Croatie","Solaire",0,96
2022,"Croatie","Solaire",0,14
2023,"Croatie","Solaire",0,292
2024,"Croatie","Solaire",0,45
2016,"Croatie","Hydraulique",2,9
2017,"Croatie","Hydraulique",2,9
2018,"Croatie","Hydraulique",2,14
2019,"Croatie","Hydraulique",2,146
2020,"Croatie","Hydraulique",2,153
2021,"Croatie","Hydraulique",2,155
2022,"Croatie","Hydraulique",2,155
2023,"Croatie","Hydraulique",2,155
2024,"Croatie","Hydraulique",2,155
2016,"Croatie","Fioul",0,95
2017,"Croatie","Fioul",0,95
2018,"Croatie","Fioul",0,937
2019,"Croatie","Fioul",0,937
2020,"Croatie","Fioul",0,77
2021,"Croatie","Fioul",0,75
2022,"Croatie","Fioul",0,45
2023,"Croatie","Fioul",0,45
2024,"Croatie","Fioul",0,45
2016,"Croatie","Gaz",0,743
2017,"Croatie","Gaz",0,743
2018,"Croatie","Gaz",0,743
2019,"Croatie","Gaz",0,743
2020,"Croatie","Gaz",0,743
2021,"Croatie","Gaz",0,75
2022,"Croatie","Gaz",0,766
2023,"Croatie","Gaz",0,886
2024,"Croatie","Gaz",0,798
2016,"Croatie","Charbon",0,325
2017,"Croatie","Charbon",0,325
2018,"Croatie","Charbon",0,332
2019,"Croatie","Charbon",0,332
2020,"Croatie","Charbon",0,217
2021,"Croatie","Charbon",0,217
2022,"Croatie","Charbon",0,217
2023,"Croatie","Charbon",0,217
2024,"Croatie","Charbon",0,217
2016,"Croatie","Nucléaire",,
2017,"Croatie","Nucléaire",,
2018,"Croatie","Nucléaire",,
2019,"Croatie","Nucléaire",,
2020,"Croatie","Nucléaire",,
2021,"Croatie","Nucléaire",,
2022,"Croatie","Nucléaire",,
2023,"Croatie","Nucléaire",,
2024,"Croatie","Nucléaire",,
2016,"Croatie","Toutes les filières",4,777
2017,"Croatie","Toutes les filières",4,846
2018,"Croatie","Toutes les filières",4,957
2019,"Croatie","Toutes les filières",5,107
2020,"Croatie","Toutes les filières",4,249
2021,"Croatie","Toutes les filières",4,402
2022,"Croatie","Toutes les filières",4,517
2023,"Croatie","Toutes les filières",5,29
2024,"Croatie","Toutes les filières",5,152
2016,"Hongrie","Autres",0,63880001068115
2017,"Hongrie","Autres",0,68319999694824
2018,"Hongrie","Autres",0,77100001573563
2019,"Hongrie","Autres",0,76210002183914
2020,"Hongrie","Autres",0,72159999132156
2021,"Hongrie","Autres",0,72299998521805
2022,"Hongrie","Autres",0,94859999895096
2023,"Hongrie","Autres",0,10881299901009
2024,"Hongrie","Autres",0,21918300175667
2016,"Hongrie","Dechets",0,2810000038147
2017,"Hongrie","Dechets",0,35639999389648
2018,"Hongrie","Dechets",0,59439998626709
2019,"Hongrie","Dechets",0,59439998626709
2020,"Hongrie","Dechets",0,49439998626709
2021,"Hongrie","Dechets",0,49439998626709
2022,"Hongrie","Dechets",0,49439998626709
2023,"Hongrie","Dechets",0,49436000823975
2024,"Hongrie","Dechets",0,49436000823975
2016,"Hongrie","Biogaz",,
2017,"Hongrie","Biogaz",,
2018,"Hongrie","Biogaz",,
2019,"Hongrie","Biogaz",,
2020,"Hongrie","Biogaz",,
2021,"Hongrie","Biogaz",,
2022,"Hongrie","Biogaz",,
2023,"Hongrie","Biogaz",,
2024,"Hongrie","Biogaz",,
2016,"Hongrie","Biomasse",0,24594999694824
2017,"Hongrie","Biomasse",0,25085000610352
2018,"Hongrie","Biomasse",0,24594999694824
2019,"Hongrie","Biomasse",0,24064999389648
2020,"Hongrie","Biomasse",0,21264999389648
2021,"Hongrie","Biomasse",0,21264999389648
2022,"Hongrie","Biomasse",0,21264999389648
2023,"Hongrie","Biomasse",0,31365200805664
2024,"Hongrie","Biomasse",0,31365200805664
2016,"Hongrie","Eolien en mer",,
2017,"Hongrie","Eolien en mer",,
2018,"Hongrie","Eolien en mer",,
2019,"Hongrie","Eolien en mer",,
2020,"Hongrie","Eolien en mer",,
2021,"Hongrie","Eolien en mer",,
2022,"Hongrie","Eolien en mer",,
2023,"Hongrie","Eolien en mer",,
2024,"Hongrie","Eolien en mer",,
2016,"Hongrie","Eolien terrestre",0,32425
2017,"Hongrie","Eolien terrestre",0,32489999389648
2018,"Hongrie","Eolien terrestre",0,32748001098633
2019,"Hongrie","Eolien terrestre",0,3232799987793
2020,"Hongrie","Eolien terrestre",0,3232799987793
2021,"Hongrie","Eolien terrestre",0,3232799987793
2022,"Hongrie","Eolien terrestre",0,3232799987793
2023,"Hongrie","Eolien terrestre",0,32507501220703
2024,"Hongrie","Eolien terrestre",0,32507501220703
2016,"Hongrie","Solaire",0,69730003356934
2017,"Hongrie","Solaire",0,33554998779297
2018,"Hongrie","Solaire",0,93625
2019,"Hongrie","Solaire",1,4065100097656
2020,"Hongrie","Solaire",1,8286600341797
2021,"Hongrie","Solaire",2,5235700683594
2022,"Hongrie","Solaire",3,3003701171875
2023,"Hongrie","Solaire",4,290769042969
2024,"Hongrie","Solaire",8,2812177734375
2016,"Hongrie","Hydraulique",0,55979999542236
2017,"Hongrie","Hydraulique",0,56200000762939
2018,"Hongrie","Hydraulique",0,57809999465942
2019,"Hongrie","Hydraulique",0,58289999008179
2020,"Hongrie","Hydraulique",0,58289999008179
2021,"Hongrie","Hydraulique",0,61189998626709
2022,"Hongrie","Hydraulique",0,61189998626709
2023,"Hongrie","Hydraulique",0,61157001495361
2024,"Hongrie","Hydraulique",0,62356998443604
2016,"Hongrie","Fioul",0,41
2017,"Hongrie","Fioul",0,41205999755859
2018,"Hongrie","Fioul",0,42105999755859
2019,"Hongrie","Fioul",0,42
2020,"Hongrie","Fioul",0,42
2021,"Hongrie","Fioul",0,42479998779297
2022,"Hongrie","Fioul",0,42479998779297
2023,"Hongrie","Fioul",0,42479998779297
2024,"Hongrie","Fioul",0,42479998779297
2016,"Hongrie","Gaz",4,1137202148437
2017,"Hongrie","Gaz",4,1069399414063
2018,"Hongrie","Gaz",4,284299316406
2019,"Hongrie","Gaz",4,302900390625
2020,"Hongrie","Gaz",4,113601074219
2021,"Hongrie","Gaz",3,9744799804688
2022,"Hongrie","Gaz",3,1511398925781
2023,"Hongrie","Gaz",3,1663959960938
2024,"Hongrie","Gaz",2,9750070800781
2016,"Hongrie","Charbon",1,488699951172
2017,"Hongrie","Charbon",1,488699951172
2018,"Hongrie","Charbon",1,488699951172
2019,"Hongrie","Charbon",1,488700294495
2020,"Hongrie","Charbon",1,488700294495
2021,"Hongrie","Charbon",1,488700294495
2022,"Hongrie","Charbon",0,82889999771118
2023,"Hongrie","Charbon",0,82889999771118
2024,"Hongrie","Charbon",0,82889999771118
2016,"Hongrie","Nucléaire",1,8867900390625
2017,"Hongrie","Nucléaire",1,8988699951172
2018,"Hongrie","Nucléaire",1,8988699951172
2019,"Hongrie","Nucléaire",1,8988699951172
2020,"Hongrie","Nucléaire",1,9099300537109
2021,"Hongrie","Nucléaire",1,9155999755859
2022,"Hongrie","Nucléaire",1,9155999755859
2023,"Hongrie","Nucléaire",1,9155999755859
2024,"Hongrie","Nucléaire",1,9155999755859
2016,"Hongrie","Toutes les filières",8,2472702503204
2017,"Hongrie","Toutes les filières",8,5381999168396
2018,"Hongrie","Toutes les filières",9,1012599270344
2019,"Hongrie","Toutes les filières",9,5624100658894
2020,"Hongrie","Toutes les filières",9,9346402142048
2021,"Hongrie","Toutes les filières",10,606180030107
2022,"Hongrie","Toutes les filières",10,36222996068
2023,"Hongrie","Toutes les filières",11,222905883074
2024,"Hongrie","Toutes les filières",15,395227835894
2016,"Italie","Autres",2,579
2017,"Italie","Autres",6,659
2018,"Italie","Autres",1,86
2019,"Italie","Autres",2,263
2020,"Italie","Autres",1,706
2021,"Italie","Autres",1,694
2022,"Italie","Autres",1,722
2023,"Italie","Autres",1,203
2024,"Italie","Autres",1,306
2016,"Italie","Dechets",0,241
2017,"Italie","Dechets",0,142
2018,"Italie","Dechets",0,132
2019,"Italie","Dechets",0,125
2020,"Italie","Dechets",0,125
2021,"Italie","Dechets",0,122
2022,"Italie","Dechets",0,12
2023,"Italie","Dechets",0,67
2024,"Italie","Dechets",0,671
2016,"Italie","Biogaz",,
2017,"Italie","Biogaz",,
2018,"Italie","Biogaz",,
2019,"Italie","Biogaz",,
2020,"Italie","Biogaz",,
2021,"Italie","Biogaz",,
2022,"Italie","Biogaz",,
2023,"Italie","Biogaz",,
2024,"Italie","Biogaz",,
2016,"Italie","Biomasse",1,625
2017,"Italie","Biomasse",1,354
2018,"Italie","Biomasse",1,538
2019,"Italie","Biomasse",1,549
2020,"Italie","Biomasse",1,587
2021,"Italie","Biomasse",1,548
2022,"Italie","Biomasse",1,534
2023,"Italie","Biomasse",1,543
2024,"Italie","Biomasse",1,539
2016,"Italie","Eolien en mer",,
2017,"Italie","Eolien en mer",,
2018,"Italie","Eolien en mer",,
2019,"Italie","Eolien en mer",,
2020,"Italie","Eolien en mer",,
2021,"Italie","Eolien en mer",,
2022,"Italie","Eolien en mer",0,3
2023,"Italie","Eolien en mer",0,3
2024,"Italie","Eolien en mer",0,3
2016,"Italie","Eolien terrestre",9,24
2017,"Italie","Eolien terrestre",9,261
2018,"Italie","Eolien terrestre",9,617
2019,"Italie","Eolien terrestre",10,224
2020,"Italie","Eolien terrestre",10,302
2021,"Italie","Eolien terrestre",10,658
2022,"Italie","Eolien terrestre",11,204
2023,"Italie","Eolien terrestre",11,651
2024,"Italie","Eolien terrestre",12,233
2016,"Italie","Solaire",4,659
2017,"Italie","Solaire",4,719
2018,"Italie","Solaire",4,717
2019,"Italie","Solaire",4,874
2020,"Italie","Solaire",4,979
2021,"Italie","Solaire",5,137
2022,"Italie","Solaire",5,431
2023,"Italie","Solaire",5,927
2024,"Italie","Solaire",8,922
2016,"Italie","Hydraulique",21,921
2017,"Italie","Hydraulique",22,12
2018,"Italie","Hydraulique",22,81
2019,"Italie","Hydraulique",22,176
2020,"Italie","Hydraulique",22,202
2021,"Italie","Hydraulique",22,204
2022,"Italie","Hydraulique",22,249
2023,"Italie","Hydraulique",22,89
2024,"Italie","Hydraulique",22,11
2016,"Italie","Fioul",4,928
2017,"Italie","Fioul",2,475
2018,"Italie","Fioul",1,443
2019,"Italie","Fioul",1,493
2020,"Italie","Fioul",1,48
2021,"Italie","Fioul",1,49
2022,"Italie","Fioul",1,543
2023,"Italie","Fioul",1,564
2024,"Italie","Fioul",1,548
2016,"Italie","Gaz",40,814
2017,"Italie","Gaz",41,128
2018,"Italie","Gaz",48,134
2019,"Italie","Gaz",44,287
2020,"Italie","Gaz",43,989
2021,"Italie","Gaz",44,2
2022,"Italie","Gaz",46,287
2023,"Italie","Gaz",47,228
2024,"Italie","Gaz",47,625
2016,"Italie","Charbon",7,902
2017,"Italie","Charbon",6,3
2018,"Italie","Charbon",4,851
2019,"Italie","Charbon",7,617
2020,"Italie","Charbon",6,987
2021,"Italie","Charbon",6,376
2022,"Italie","Charbon",5,576
2023,"Italie","Charbon",5,583
2024,"Italie","Charbon",5,227
2016,"Italie","Nucléaire",,
2017,"Italie","Nucléaire",,
2018,"Italie","Nucléaire",,
2019,"Italie","Nucléaire",,
2020,"Italie","Nucléaire",,
2021,"Italie","Nucléaire",,
2022,"Italie","Nucléaire",,
2023,"Italie","Nucléaire",,
2024,"Italie","Nucléaire",,
2016,"Italie","Toutes les filières",93,693
2017,"Italie","Toutes les filières",93,78
2018,"Italie","Toutes les filières",94,373
2019,"Italie","Toutes les filières",94,608
2020,"Italie","Toutes les filières",93,357
2021,"Italie","Toutes les filières",93,231
2022,"Italie","Toutes les filières",95,696
2023,"Italie","Toutes les filières",97,488
2024,"Italie","Toutes les filières",101,211
2016,"Lituanie","Autres",0,119
2017,"Lituanie","Autres",0,37
2018,"Lituanie","Autres",0,14
