Date,Pays,Filière,Valeur (GW),
2019,"Lituanie","Autres",0,144
2020,"Lituanie","Autres",0,37
2021,"Lituanie","Autres",0,37
2022,"Lituanie","Autres",0,37
2023,"Lituanie","Autres",0,37
2024,"Lituanie","Autres",0,37
2016,"Lituanie","Dechets",0,21
2017,"Lituanie","Dechets",0,22
2018,"Lituanie","Dechets",0,21
2019,"Lituanie","Dechets",0,22
2020,"Lituanie","Dechets",0,48
2021,"Lituanie","Dechets",0,7
2022,"Lituanie","Dechets",0,7
2023,"Lituanie","Dechets",0,7
2024,"Lituanie","Dechets",0,7
2016,"Lituanie","Biogaz",,
2017,"Lituanie","Biogaz",,
2018,"Lituanie","Biogaz",,
2019,"Lituanie","Biogaz",,
2020,"Lituanie","Biogaz",,
2021,"Lituanie","Biogaz",,
2022,"Lituanie","Biogaz",,
2023,"Lituanie","Biogaz",,
2024,"Lituanie","Biogaz",,
2016,"Lituanie","Biomasse",0,101
2017,"Lituanie","Biomasse",0,102
2018,"Lituanie","Biomasse",0,96
2019,"Lituanie","Biomasse",0,98
2020,"Lituanie","Biomasse",0,99
2021,"Lituanie","Biomasse",0,95
2022,"Lituanie","Biomasse",0,99
2023,"Lituanie","Biomasse",0,196
2024,"Lituanie","Biomasse",0,196
2016,"Lituanie","Eolien en mer",,
2017,"Lituanie","Eolien en mer",,
2018,"Lituanie","Eolien en mer",,
2019,"Lituanie","Eolien en mer",,
2020,"Lituanie","Eolien en mer",,
2021,"Lituanie","Eolien en mer",,
2022,"Lituanie","Eolien en mer",,
2023,"Lituanie","Eolien en mer",,
2024,"Lituanie","Eolien en mer",,
2016,"Lituanie","Eolien terrestre",0,426
2017,"Lituanie","Eolien terrestre",0,509
2018,"Lituanie","Eolien terrestre",0,525
2019,"Lituanie","Eolien terrestre",0,534
2020,"Lituanie","Eolien terrestre",0,54
2021,"Lituanie","Eolien terrestre",0,671
2022,"Lituanie","Eolien terrestre",0,814
2023,"Lituanie","Eolien terrestre",1,288
2024,"Lituanie","Eolien terrestre",1,683
2016,"Lituanie","Solaire",0,8
2017,"Lituanie","Solaire",0,82
2018,"Lituanie","Solaire",0,82
2019,"Lituanie","Solaire",0,103
2020,"Lituanie","Solaire",0,169
2021,"Lituanie","Solaire",0,259
2022,"Lituanie","Solaire",0,578
2023,"Lituanie","Solaire",1,165
2024,"Lituanie","Solaire",1,787
2016,"Lituanie","Hydraulique",1,28
2017,"Lituanie","Hydraulique",1,28
2018,"Lituanie","Hydraulique",1,28
2019,"Lituanie","Hydraulique",1,28
2020,"Lituanie","Hydraulique",1,28
2021,"Lituanie","Hydraulique",1,28
2022,"Lituanie","Hydraulique",1,28
2023,"Lituanie","Hydraulique",1,29
2024,"Lituanie","Hydraulique",1,29
2016,"Lituanie","Fioul",0,16
2017,"Lituanie","Fioul",,
2018,"Lituanie","Fioul",,
2019,"Lituanie","Fioul",,
2020,"Lituanie","Fioul",,
2021,"Lituanie","Fioul",,
2022,"Lituanie","Fioul",,
2023,"Lituanie","Fioul",,
2024,"Lituanie","Fioul",,
2016,"Lituanie","Gaz",1,656
2017,"Lituanie","Gaz",1,873
2018,"Lituanie","Gaz",1,71
2019,"Lituanie","Gaz",1,77
2020,"Lituanie","Gaz",1,887
2021,"Lituanie","Gaz",1,527
2022,"Lituanie","Gaz",1,518
2023,"Lituanie","Gaz",1,503
2024,"Lituanie","Gaz",1,503
2016,"Lituanie","Charbon",,
2017,"Lituanie","Charbon",,
2018,"Lituanie","Charbon",,
2019,"Lituanie","Charbon",,
2020,"Lituanie","Charbon",,
2021,"Lituanie","Charbon",,
2022,"Lituanie","Charbon",,
2023,"Lituanie","Charbon",,
2024,"Lituanie","Charbon",,
2016,"Lituanie","Nucléaire",,
2017,"Lituanie","Nucléaire",,
2018,"Lituanie","Nucléaire",,
2019,"Lituanie","Nucléaire",,
2020,"Lituanie","Nucléaire",,
2021,"Lituanie","Nucléaire",,
2022,"Lituanie","Nucléaire",,
2023,"Lituanie","Nucléaire",,
2024,"Lituanie","Nucléaire",,
2016,"Lituanie","Toutes les filières",3,591
2017,"Lituanie","Toutes les filières",3,653
2018,"Lituanie","Toutes les filières",3,602
2019,"Lituanie","Toutes les filières",3,699
2020,"Lituanie","Toutes les filières",3,808
2021,"Lituanie","Toutes les filières",3,687
2022,"Lituanie","Toutes les filières",4,144
2023,"Lituanie","Toutes les filières",5,288
2024,"Lituanie","Toutes les filières",6,305
2016,"Lettonie","Autres",,
2017,"Lettonie","Autres",,
2018,"Lettonie","Autres",,
2019,"Lettonie","Autres",,
2020,"Lettonie","Autres",,
2021,"Lettonie","Autres",,
2022,"Lettonie","Autres",,
2023,"Lettonie","Autres",,
2024,"Lettonie","Autres",,
2016,"Lettonie","Dechets",,
2017,"Lettonie","Dechets",,
2018,"Lettonie","Dechets",,
2019,"Lettonie","Dechets",,
2020,"Lettonie","Dechets",,
2021,"Lettonie","Dechets",,
2022,"Lettonie","Dechets",,
2023,"Lettonie","Dechets",,
2024,"Lettonie","Dechets",,
2016,"Lettonie","Biogaz",,
2017,"Lettonie","Biogaz",,
2018,"Lettonie","Biogaz",,
2019,"Lettonie","Biogaz",,
2020,"Lettonie","Biogaz",,
2021,"Lettonie","Biogaz",,
2022,"Lettonie","Biogaz",,
2023,"Lettonie","Biogaz",,
2024,"Lettonie","Biogaz",,
2016,"Lettonie","Biomasse",0,10537000274658
2017,"Lettonie","Biomasse",0,105
2018,"Lettonie","Biomasse",0,126
2019,"Lettonie","Biomasse",0,145
2020,"Lettonie","Biomasse",0,149
2021,"Lettonie","Biomasse",0,164
2022,"Lettonie","Biomasse",0,177
2023,"Lettonie","Biomasse",0,166
2024,"Lettonie","Biomasse",0,166
2016,"Lettonie","Eolien en mer",,
2017,"Lettonie","Eolien en mer",,
2018,"Lettonie","Eolien en mer",,
2019,"Lettonie","Eolien en mer",,
2020,"Lettonie","Eolien en mer",,
2021,"Lettonie","Eolien en mer",,
2022,"Lettonie","Eolien en mer",,
2023,"Lettonie","Eolien en mer",,
2024,"Lettonie","Eolien en mer",,
2016,"Lettonie","Eolien terrestre",0,53150001525879
2017,"Lettonie","Eolien terrestre",0,53
2018,"Lettonie","Eolien terrestre",0,59
2019,"Lettonie","Eolien terrestre",0,74
2020,"Lettonie","Eolien terrestre",0,84
2021,"Lettonie","Eolien terrestre",0,87
2022,"Lettonie","Eolien terrestre",0,165
2023,"Lettonie","Eolien terrestre",0,136
2024,"Lettonie","Eolien terrestre",0,136
2016,"Lettonie","Solaire",,
2017,"Lettonie","Solaire",,
2018,"Lettonie","Solaire",0,7
2019,"Lettonie","Solaire",0,9
2020,"Lettonie","Solaire",0,11
2021,"Lettonie","Solaire",0,14
2022,"Lettonie","Solaire",0,63
2023,"Lettonie","Solaire",0,303
2024,"Lettonie","Solaire",0,45
2016,"Lettonie","Hydraulique",1,5386199951172
2017,"Lettonie","Hydraulique",1,539
2018,"Lettonie","Hydraulique",1,539
2019,"Lettonie","Hydraulique",1,578
2020,"Lettonie","Hydraulique",1,578
2021,"Lettonie","Hydraulique",1,588
2022,"Lettonie","Hydraulique",1,609
2023,"Lettonie","Hydraulique",1,588
2024,"Lettonie","Hydraulique",1,588
2016,"Lettonie","Fioul",,
2017,"Lettonie","Fioul",,
2018,"Lettonie","Fioul",,
2019,"Lettonie","Fioul",,
2020,"Lettonie","Fioul",,
2021,"Lettonie","Fioul",,
2022,"Lettonie","Fioul",,
2023,"Lettonie","Fioul",,
2024,"Lettonie","Fioul",,
2016,"Lettonie","Gaz",1,1237900390625
2017,"Lettonie","Gaz",1,124
2018,"Lettonie","Gaz",1,11
2019,"Lettonie","Gaz",1,26
2020,"Lettonie","Gaz",1,21
2021,"Lettonie","Gaz",1,162
2022,"Lettonie","Gaz",1,157
2023,"Lettonie","Gaz",1,112
2024,"Lettonie","Gaz",1,112
2016,"Lettonie","Charbon",,
2017,"Lettonie","Charbon",,
2018,"Lettonie","Charbon",,
2019,"Lettonie","Charbon",,
2020,"Lettonie","Charbon",,
2021,"Lettonie","Charbon",,
2022,"Lettonie","Charbon",,
2023,"Lettonie","Charbon",,
2024,"Lettonie","Charbon",,
2016,"Lettonie","Nucléaire",,
2017,"Lettonie","Nucléaire",,
2018,"Lettonie","Nucléaire",,
2019,"Lettonie","Nucléaire",,
2020,"Lettonie","Nucléaire",,
2021,"Lettonie","Nucléaire",,
2022,"Lettonie","Nucléaire",,
2023,"Lettonie","Nucléaire",,
2024,"Lettonie","Nucléaire",,
2016,"Lettonie","Toutes les filières",2,8209300384521
2017,"Lettonie","Toutes les filières",2,821
2018,"Lettonie","Toutes les filières",2,841
2019,"Lettonie","Toutes les filières",2,832
2020,"Lettonie","Toutes les filières",2,843
2021,"Lettonie","Toutes les filières",3,15
2022,"Lettonie","Toutes les filières",3,171
2023,"Lettonie","Toutes les filières",3,305
2024,"Lettonie","Toutes les filières",3,452
2016,"Pays-Bas","Autres",0,1
2017,"Pays-Bas","Autres",,
2018,"Pays-Bas","Autres",0,1
2019,"Pays-Bas","Autres",0,1
2020,"Pays-Bas","Autres",0,1
2021,"Pays-Bas","Autres",0,1
2022,"Pays-Bas","Autres",0,1
2023,"Pays-Bas","Autres",0,1
2024,"Pays-Bas","Autres",0,1
2016,"Pays-Bas","Dechets",0,678
2017,"Pays-Bas","Dechets",0,683
2018,"Pays-Bas","Dechets",0,758
2019,"Pays-Bas","Dechets",0,79
2020,"Pays-Bas","Dechets",0,78
2021,"Pays-Bas","Dechets",0,763
2022,"Pays-Bas","Dechets",0,786
2023,"Pays-Bas","Dechets",0,786
2024,"Pays-Bas","Dechets",0,67
2016,"Pays-Bas","Biogaz",,
2017,"Pays-Bas","Biogaz",,
2018,"Pays-Bas","Biogaz",,
2019,"Pays-Bas","Biogaz",,
2020,"Pays-Bas","Biogaz",,
2021,"Pays-Bas","Biogaz",,
2022,"Pays-Bas","Biogaz",,
2023,"Pays-Bas","Biogaz",,
2024,"Pays-Bas","Biogaz",,
2016,"Pays-Bas","Biomasse",0,486
2017,"Pays-Bas","Biomasse",0,489
2018,"Pays-Bas","Biomasse",0,485
2019,"Pays-Bas","Biomasse",0,49
2020,"Pays-Bas","Biomasse",0,56
2021,"Pays-Bas","Biomasse",0,572
2022,"Pays-Bas","Biomasse",0,415
2023,"Pays-Bas","Biomasse",0,415
2024,"Pays-Bas","Biomasse",0,418
2016,"Pays-Bas","Eolien en mer",0,957
2017,"Pays-Bas","Eolien en mer",0,957
2018,"Pays-Bas","Eolien en mer",0,957
2019,"Pays-Bas","Eolien en mer",2,46
2020,"Pays-Bas","Eolien en mer",2,46
2021,"Pays-Bas","Eolien en mer",2,46
2022,"Pays-Bas","Eolien en mer",3,22
2023,"Pays-Bas","Eolien en mer",3,978
2024,"Pays-Bas","Eolien en mer",4,739
2016,"Pays-Bas","Eolien terrestre",3,245
2017,"Pays-Bas","Eolien terrestre",3,675
2018,"Pays-Bas","Eolien terrestre",3,527
2019,"Pays-Bas","Eolien terrestre",4,188
2020,"Pays-Bas","Eolien terrestre",5,214
2021,"Pays-Bas","Eolien terrestre",5,31
2022,"Pays-Bas","Eolien terrestre",6,19
2023,"Pays-Bas","Eolien terrestre",6,812
2024,"Pays-Bas","Eolien terrestre",6,967
2016,"Pays-Bas","Solaire",2,911
2017,"Pays-Bas","Solaire",2,584
2018,"Pays-Bas","Solaire",7,226
2019,"Pays-Bas","Solaire",11,108
2020,"Pays-Bas","Solaire",14,823
2021,"Pays-Bas","Solaire",14,911
2022,"Pays-Bas","Solaire",22,59
2023,"Pays-Bas","Solaire",24,261
2024,"Pays-Bas","Solaire",27,259
2016,"Pays-Bas","Hydraulique",0,37
2017,"Pays-Bas","Hydraulique",0,38
2018,"Pays-Bas","Hydraulique",0,37
2019,"Pays-Bas","Hydraulique",0,37
2020,"Pays-Bas","Hydraulique",0,38
2021,"Pays-Bas","Hydraulique",0,38
2022,"Pays-Bas","Hydraulique",0,37
2023,"Pays-Bas","Hydraulique",0,38
2024,"Pays-Bas","Hydraulique",0,38
2016,"Pays-Bas","Fioul",,
2017,"Pays-Bas","Fioul",,
2018,"Pays-Bas","Fioul",,
2019,"Pays-Bas","Fioul",,
2020,"Pays-Bas","Fioul",,
2021,"Pays-Bas","Fioul",,
2022,"Pays-Bas","Fioul",,
2023,"Pays-Bas","Fioul",,
2024,"Pays-Bas","Fioul",,
2016,"Pays-Bas","Gaz",19,297
2017,"Pays-Bas","Gaz",18,433
2018,"Pays-Bas","Gaz",15,57
2019,"Pays-Bas","Gaz",15,496
2020,"Pays-Bas","Gaz",18,5
2021,"Pays-Bas","Gaz",18,53
2022,"Pays-Bas","Gaz",18,351
2023,"Pays-Bas","Gaz",18,351
2024,"Pays-Bas","Gaz",18,718
2016,"Pays-Bas","Charbon",4,608
2017,"Pays-Bas","Charbon",4,631
2018,"Pays-Bas","Charbon",4,631
2019,"Pays-Bas","Charbon",4,662
2020,"Pays-Bas","Charbon",4,12
2021,"Pays-Bas","Charbon",4,6
2022,"Pays-Bas","Charbon",4,6
2023,"Pays-Bas","Charbon",4,6
2024,"Pays-Bas","Charbon",4,12
2016,"Pays-Bas","Nucléaire",0,486
2017,"Pays-Bas","Nucléaire",0,486
2018,"Pays-Bas","Nucléaire",0,486
2019,"Pays-Bas","Nucléaire",0,485
2020,"Pays-Bas","Nucléaire",0,485
2021,"Pays-Bas","Nucléaire",0,486
2022,"Pays-Bas","Nucléaire",0,486
2023,"Pays-Bas","Nucléaire",0,486
2024,"Pays-Bas","Nucléaire",0,486
2016,"Pays-Bas","Toutes les filières",32,706
2017,"Pays-Bas","Toutes les filières",31,976
2018,"Pays-Bas","Toutes les filières",33,678
2019,"Pays-Bas","Toutes les filières",39,717
2020,"Pays-Bas","Toutes les filières",46,873
2021,"Pays-Bas","Toutes les filières",47,77
2022,"Pays-Bas","Toutes les filières",56,82
2023,"Pays-Bas","Toutes les filières",59,134
2024,"Pays-Bas","Toutes les filières",63,308
2016,"Norvège","Autres",,
2017,"Norvège","Autres",,
2018,"Norvège","Autres",,
2019,"Norvège","Autres",,
2020,"Norvège","Autres",0,13073999977112
2021,"Norvège","Autres",0,13073999977112
2022,"Norvège","Autres",0,13073999977112
2023,"Norvège","Autres",0,13073999977112
2024,"Norvège","Autres",0,13070000076294
2016,"Norvège","Dechets",,
2017,"Norvège","Dechets",,
2018,"Norvège","Dechets",,
2019,"Norvège","Dechets",,
2020,"Norvège","Dechets",0,89819999694824
2021,"Norvège","Dechets",0,89819999694824
2022,"Norvège","Dechets",0,89819999694824
2023,"Norvège","Dechets",0,91959999084473
2024,"Norvège","Dechets",0,92599998474121
2016,"Norvège","Biogaz",,
2017,"Norvège","Biogaz",,
2018,"Norvège","Biogaz",,
2019,"Norvège","Biogaz",,
2020,"Norvège","Biogaz",,
2021,"Norvège","Biogaz",,
2022,"Norvège","Biogaz",,
2023,"Norvège","Biogaz",,
2024,"Norvège","Biogaz",,
2016,"Norvège","Biomasse",,
2017,"Norvège","Biomasse",,
2018,"Norvège","Biomasse",,
2019,"Norvège","Biomasse",,
2020,"Norvège","Biomasse",0,18799999952316
2021,"Norvège","Biomasse",0,18799999952316
2022,"Norvège","Biomasse",0,18799999952316
2023,"Norvège","Biomasse",0,14380000114441
2024,"Norvège","Biomasse",0,1439999961853
2016,"Norvège","Eolien en mer",,
2017,"Norvège","Eolien en mer",,
2018,"Norvège","Eolien en mer",,
2019,"Norvège","Eolien en mer",,
2020,"Norvège","Eolien en mer",,
2021,"Norvège","Eolien en mer",,
2022,"Norvège","Eolien en mer",,
2023,"Norvège","Eolien en mer",,
2024,"Norvège","Eolien en mer",0,59000000953674
2016,"Norvège","Eolien terrestre",0,90359997558594
2017,"Norvège","Eolien terrestre",1,2318499755859
2018,"Norvège","Eolien terrestre",2,2618000488281
2019,"Norvège","Eolien terrestre",3,8655
2020,"Norvège","Eolien terrestre",5,1052001953125
2021,"Norvège","Eolien terrestre",5,1052001953125
2022,"Norvège","Eolien terrestre",5,1297998046875
2023,"Norvège","Eolien terrestre",5,133
2024,"Norvège","Eolien terrestre",5,1327001953125
2016,"Norvège","Solaire",,
2017,"Norvège","Solaire",,
2018,"Norvège","Solaire",,
2019,"Norvège","Solaire",,
2020,"Norvège","Solaire",,
2021,"Norvège","Solaire",,
2022,"Norvège","Solaire",,
2023,"Norvège","Solaire",0,90699996948242
2024,"Norvège","Solaire",0,16700000762939
2016,"Norvège","Hydraulique",31,95270263672
2017,"Norvège","Hydraulique",32,930800048828
2018,"Norvège","Hydraulique",33,440699462891
2019,"Norvège","Hydraulique",33,812160888672
2020,"Norvège","Hydraulique",34,424861083984
2021,"Norvège","Hydraulique",34,424861083984
2022,"Norvège","Hydraulique",34,468059814453
2023,"Norvège","Hydraulique",34,600350341797
2024,"Norvège","Hydraulique",35,6500732422
2016,"Norvège","Fioul",,
2017,"Norvège","Fioul",,
2018,"Norvège","Fioul",,
2019,"Norvège","Fioul",,
2020,"Norvège","Fioul",,
2021,"Norvège","Fioul",,
2022,"Norvège","Fioul",,
2023,"Norvège","Fioul",,
2024,"Norvège","Fioul",,
2016,"Norvège","Gaz",0,61070001220703
2017,"Norvège","Gaz",0,63459997558594
2018,"Norvège","Gaz",0,63459997558594
2019,"Norvège","Gaz",0,64170001220703
2020,"Norvège","Gaz",0,63894000244141
2021,"Norvège","Gaz",0,63894000244141
2022,"Norvège","Gaz",0,45894000244141
2023,"Norvège","Gaz",0,47294000244141
2024,"Norvège","Gaz",0,47820001220703
2016,"Norvège","Charbon",,
2017,"Norvège","Charbon",,
2018,"Norvège","Charbon",,
2019,"Norvège","Charbon",,
2020,"Norvège","Charbon",,
2021,"Norvège","Charbon",,
2022,"Norvège","Charbon",,
2023,"Norvège","Charbon",,
2024,"Norvège","Charbon",,
2016,"Norvège","Nucléaire",,
2017,"Norvège","Nucléaire",,
2018,"Norvège","Nucléaire",,
2019,"Norvège","Nucléaire",,
2020,"Norvège","Nucléaire",,
2021,"Norvège","Nucléaire",,
2022,"Norvège","Nucléaire",,
2023,"Norvège","Nucléaire",,
2024,"Norvège","Nucléaire",,
2016,"Norvège","Toutes les filières",32,609570251465
2017,"Norvège","Toutes les filières",34,79725
2018,"Norvège","Toutes les filières",36,337099487305
2019,"Norvège","Toutes les filières",38,319360900879
2020,"Norvège","Toutes les filières",40,391441281199
2021,"Norvège","Toutes les filières",40,391441281199
2022,"Norvège","Toutes les filières",40,279239621043
2023,"Norvège","Toutes les filières",40,452440342903
2024,"Norvège","Toutes les filières",40,877700939655
2016,"Pologne","Autres",,
2017,"Pologne","Autres",,
2018,"Pologne","Autres",,
2019,"Pologne","Autres",,
2020,"Pologne","Autres",,
2021,"Pologne","Autres",1,52425
2022,"Pologne","Autres",1,5196700439453
2023,"Pologne","Autres",1,6427600097656
2024,"Pologne","Autres",1,8037299804688
2016,"Pologne","Dechets",,
2017,"Pologne","Dechets",,
2018,"Pologne","Dechets",,
2019,"Pologne","Dechets",,
2020,"Pologne","Dechets",,
2021,"Pologne","Dechets",,
2022,"Pologne","Dechets",,
2023,"Pologne","Dechets",,
2024,"Pologne","Dechets",,
2016,"Pologne","Biogaz",,
2017,"Pologne","Biogaz",,
2018,"Pologne","Biogaz",,
2019,"Pologne","Biogaz",,
2020,"Pologne","Biogaz",,
2021,"Pologne","Biogaz",,
2022,"Pologne","Biogaz",,
2023,"Pologne","Biogaz",,
2024,"Pologne","Biogaz",,
2016,"Pologne","Biomasse",0,50057998657227
2017,"Pologne","Biomasse",0,60251000976562
2018,"Pologne","Biomasse",0,84938000488281
2019,"Pologne","Biomasse",0,88015002441406
2020,"Pologne","Biomasse",0,87990997314453
2021,"Pologne","Biomasse",0,64669000244141
2022,"Pologne","Biomasse",0,66359997558594
2023,"Pologne","Biomasse",0,66229998779297
2024,"Pologne","Biomasse",0,63639001464844
2016,"Pologne","Eolien en mer",,
2017,"Pologne","Eolien en mer",,
2018,"Pologne","Eolien en mer",,
2019,"Pologne","Eolien en mer",,
2020,"Pologne","Eolien en mer",,
2021,"Pologne","Eolien en mer",,
2022,"Pologne","Eolien en mer",,
2023,"Pologne","Eolien en mer",,
2024,"Pologne","Eolien en mer",,
2016,"Pologne","Eolien terrestre",6,260600585938
2017,"Pologne","Eolien terrestre",5,7913198242187
2018,"Pologne","Eolien terrestre",5,807669921875
2019,"Pologne","Eolien terrestre",5,95333984375
2020,"Pologne","Eolien terrestre",6,5702700195313
2021,"Pologne","Eolien terrestre",7,9502099609375
2022,"Pologne","Eolien terrestre",8,97773046875
2023,"Pologne","Eolien terrestre",9,5829296875
2024,"Pologne","Eolien terrestre",10,292559570313
2016,"Pologne","Solaire",0,18655000305176
2017,"Pologne","Solaire",0,23102000427246
2018,"Pologne","Solaire",0,43013000488281
2019,"Pologne","Solaire",1,3098199462891
2020,"Pologne","Solaire",3,4727800292969
2021,"Pologne","Solaire",6,664080078125
2022,"Pologne","Solaire",10,643200195313
2023,"Pologne","Solaire",14,608700195313
2024,"Pologne","Solaire",17,705359375
2016,"Pologne","Hydraulique",2,3221899871826
2017,"Pologne","Hydraulique",2,3924900054932
2018,"Pologne","Hydraulique",2,3719600067139
2019,"Pologne","Hydraulique",2,3848000030518
2020,"Pologne","Hydraulique",2,3976399993896
2021,"Pologne","Hydraulique",2,3764799499512
2022,"Pologne","Hydraulique",2,3827899780273
2023,"Pologne","Hydraulique",2,3773000488281
2024,"Pologne","Hydraulique",2,314690032959
2016,"Pologne","Fioul",0,345
2017,"Pologne","Fioul",0,415
2018,"Pologne","Fioul",0,415
2019,"Pologne","Fioul",0,35891000366211
2020,"Pologne","Fioul",0,35891000366211
2021,"Pologne","Fioul",0,39254000854492
2022,"Pologne","Fioul",0,39254000854492
2023,"Pologne","Fioul",0,39254000854492
2024,"Pologne","Fioul",0,39254000854492
2016,"Pologne","Gaz",1,5958699951172
2017,"Pologne","Gaz",2,2978701171875
2018,"Pologne","Gaz",2,3779300842285
2019,"Pologne","Gaz",2,8115199279785
2020,"Pologne","Gaz",2,8269300842285
2021,"Pologne","Gaz",4,915899047852
2022,"Pologne","Gaz",4,676600952148
2023,"Pologne","Gaz",5,4359898681641
2024,"Pologne","Gaz",5,7245802001953
2016,"Pologne","Charbon",26,307890625
2017,"Pologne","Charbon",28,635399414063
2018,"Pologne","Charbon",30,274520507813
2019,"Pologne","Charbon",29,96276953125
2020,"Pologne","Charbon",28,521469238281
2021,"Pologne","Charbon",26,632849121094
2022,"Pologne","Charbon",26,567880371094
2023,"Pologne","Charbon",26,387509765625
2024,"Pologne","Charbon",25,482869140625
2016,"Pologne","Nucléaire",,
2017,"Pologne","Nucléaire",,
2018,"Pologne","Nucléaire",,
2019,"Pologne","Nucléaire",,
2020,"Pologne","Nucléaire",,
2021,"Pologne","Nucléaire",,
2022,"Pologne","Nucléaire",,
2023,"Pologne","Nucléaire",,
2024,"Pologne","Nucléaire",,
2016,"Pologne","Toutes les filières",37,284140655518
2017,"Pologne","Toutes les filières",40,365609375
2018,"Pologne","Toutes les filières",42,526590530396
2019,"Pologne","Toutes les filières",43,661309280396
